******************************************************************
Demo user_getUsers():
******************************************************************
Edited,Edited,ImadUser,Edited,a,N,
John,User,juser,user,u,Y,
Lynn,User,luser,user,u,N,
Noreen,Admin,nadmin,admin,a,Y,
******************************************************************
Demo user_addUser(Imad Rahal ImadUser ImadPass a):-1
******************************************************************
Edited,Edited,ImadUser,Edited,a,N,
John,User,juser,user,u,Y,
Lynn,User,luser,user,u,N,
Noreen,Admin,nadmin,admin,a,Y,
******************************************************************
Demo user_editUser(ImadUser Edited Edited Edited a N):1
******************************************************************
Edited,Edited,ImadUser,Edited,a,N,
John,User,juser,user,u,Y,
Lynn,User,luser,user,u,N,
Noreen,Admin,nadmin,admin,a,Y,
******************************************************************
Demo university_getUniversities():
******************************************************************
ABILENE CHRISTIAN UNIVERSITY,TEXAS,SUBURBAN,PRIVATE,10000,50,-1,-1,12088,70,4000,90,80,2,3,3,
ADELPHI,NEW YORK,-1,PRIVATE,15000,70,500,475,37437,60,5500,70,40,2,2,2,
AMERICAN UNIVERSITY OF BEIRUT,FOREIGN,URBAN,PRIVATE,10000,40,-1,-1,16403,20,5500,50,80,3,3,3,
ARIZONA STATE,ARIZONA,-1,STATE,40000,50,450,500,16181,50,17000,80,60,3,4,5,
AUBURN,ALABAMA,SMALL-CITY,STATE,35000,21,480,545,12468,50,5500,90,60,2,4,4,
AUGSBURG,MINNESOTA,SMALL-CITY,PRIVATE,10000,43,420,490,29991,80,4000,85,50,1,3,4,
BARD,NEW YORK,SMALL-CITY,PRIVATE,10000,55,560,520,32239,80,4000,70,30,3,4,4,
BARNARD,NEW YORK,URBAN,PRIVATE,10000,100,630,610,31009,60,4000,60,20,4,3,4,
BARUCH,NEW YORK,URBAN,STATE,25000,50,450,400,11833,80,5500,60,50,3,2,3,
BAYLOR UNIVERSITY,TEXAS,URBAN,PRIVATE,15000,55,485,521,21658,65,11500,65,75,4,4,3,
BENNINGTON,VERMONT,SUBURBAN,PRIVATE,10000,70,-1,-1,27317,40,4000,70,30,4,5,4,
BOSTON COLLEGE,MASSACHUSETTS,SUBURBAN,PRIVATE,15000,60,500,550,34042,60,11500,50,40,4,5,3,
BOSTON UNIVERSITY,MASSACHUSETTS,URBAN,PRIVATE,25000,55,550,575,32296,60,15000,60,40,4,4,3,
BRANDEIS,MASSACHUSETTS,SUBURBAN,PRIVATE,10000,52,580,630,30186,40,4000,60,45,4,3,4,
BROWN,RHODEISLAND,URBAN,PRIVATE,10000,50,625,650,36450,40,11500,20,50,5,4,5,
BRYN MAWR,PENNSYLVANIA,SMALL-CITY,PRIVATE,10000,100,600,600,25088,70,4000,60,50,5,4,4,
BUCKNELL,PENNSYLVANIA,SMALL-CITY,PRIVATE,10000,40,600,500,34772,75,5500,35,15,4,3,3,
BUTLER,INDIANA,URBAN,PRIVATE,10000,60,500,530,28271,75,4000,80,40,3,3,3,
CAL TECH,CALIFORNIA,SUBURBAN,PRIVATE,10000,30,650,780,28557,70,4000,15,90,5,1,3,
CARNEGIE MELLON,PENNSYLVANIA,URBAN,PRIVATE,10000,40,600,650,51891,70,5500,40,50,4,3,3,
CASE WESTERN,OHIO,URBAN,PRIVATE,10000,30,550,650,30676,65,4000,85,35,3,2,3,
CCNY,NEW YORK,URBAN,CITY,25000,40,-1,-1,14453,80,4000,80,60,3,2,2,
CHALMERS UNIVERSITY OF TECHNOLOGY,FOREIGN,URBAN,STATE,15000,80,-1,-1,13011,100,5500,20,90,4,5,5,
CLARK UNIVERSITY,MASSACHUSETTS,URBAN,PRIVATE,10000,55,500,575,33466,50,4000,60,30,4,3,3,
CLARKSON UNIVERSITY,NEW YORK,SMALL-CITY,PRIVATE,10000,20,535,640,30203,80,4000,70,30,3,3,4,
COLGATE,NEW YORK,SMALL-CITY,PRIVATE,10000,45,-1,-1,27839,60,5500,40,40,4,3,3,
COLLEGE OF NEWROCHELLE,NEW YORK,SMALL-CITY,PRIVATE,10000,100,600,600,19699,80,4000,70,40,2,2,3,
COLORADO COLLEGE,COLORADO,URBAN,PRIVATE,10000,90,600,600,29659,40,4000,30,-1,3,3,4,
COLORADO SCHOOL OF MINES,COLORADO,SUBURBAN,STATE,10000,20,550,600,11311,50,4000,60,50,3,3,3,
COLUMBIA,NEW YORK,URBAN,PRIVATE,10000,30,625,650,35196,60,5500,30,50,5,3,3,
